Software                            Resource Provider        
craype-hugepages1g                  delta                    
craype-hugepages256m                delta                    
craype-hugepages2g                  delta                    
craype-hugepages2m                  delta                    
craype-hugepages32m                 delta                    
craype-hugepages4m                  delta                    
craype-hugepages512m                delta                    
craype-hugepages64m                 delta                    
craype-hugepages8m                  delta                    
craype-network-none                 delta                    
craype-network-ofi                  delta                    
craype-network-ucx                  delta                    
craype-x86-genoa                    delta                    
craype-x86-milan                    delta                    
craype-x86-milan-x                  delta                    
craype-x86-rome                     delta                    
craype-x86-spr                      delta                    
craype-x86-spr-hbm                  delta                    
craype-x86-trento                   delta                    
craypkg-gen                         delta                    
crisprcasfinder                     anvil                    
crispresso2                         anvil                    
crispritz                           anvil                    
cross                               ookami                   
cross_match                         anvil                    
crossmap                            anvil                    
cryosparc                           darwin, aces             
cryptography                        aces, faster             
cryptsetup                          kyric                    
csvkit                              anvil                    
csvtk                               anvil                    
cubegui                             aces                     
cubelib                             aces                     
cubewriter                          aces                     
cuda                                bridges2, darwin, aces, faster, delta, expanse, ookami, jetstream
cuda-dcgm                           expanse                  
cuda-samples                        aces, faster             
cudacore                            aces, faster             
cudf                                aces, faster             
cudnn                               bridges2, darwin, aces, faster, delta, expanse
cue-login-env                       anvil, delta, expanse    
cufflinks                           anvil, expanse           
cunit                               aces, faster             
cupy                                aces, faster             
curl                                anvil, kyric, aces, faster, expanse, ookami
cusparselt                          aces, faster             
cusz                                faster                   
cutadapt                            anvil, bridges2, aces, faster
cutensor                            aces, faster, delta      
cuttlefish                          anvil                    
cxxopts                             stampede3                
cython                              aces, faster             
cython-blis                         aces                     
cytoolz                             faster                   
cyvcf2                              anvil                    
dace                                faster                   
dal                                 kyric                    
dalton                              faster                   
darshan-runtime                     expanse                  
darshan-util                        expanse                  
das_tool                            anvil                    
dask                                aces, faster             
datasets                            anvil                    
db                                  aces, faster             
db_file                             faster                   
dbcsr                               aces, faster             
dbd-mysql                           faster                   
dbg2olc                             anvil                    
dbus                                aces, faster             
dbus-glib                           aces, faster             
dcmtk                               aces, faster             
ddt                                 bridges2, stampede3      
dealii                              bridges2                 
debreak                             anvil                    
debugger                            kyric                    
decona                              faster                   
deconseq                            anvil                    
deepbgc                             anvil                    
deepconsensus                       anvil                    
deepdiff                            aces                     
deepsignal2                         anvil                    
deeptools                           anvil                    
deepvariant                         anvil                    
default                             delta, ookami            
default-environment                 expanse                  
default-s11                         delta                    
defaultmodules                      expanse                  
delly                               anvil                    
dendropy                            anvil, faster            
desmond                             bridges2, faster         
dev-utilities                       kyric                    
devel                               ookami                   
devito                              faster                   
dft-d3                              faster                   
dftbplus                            expanse                  
diamond                             anvil, faster, expanse   
diffutils                           kyric                    
dill                                aces, faster             
dimemas                             kyric                    
dlib                                faster                   
dm-reverb                           faster                   
dm-tree                             aces, faster             
dnaapler                            anvil                    
dnaio                               anvil                    
dnnl                                kyric                    
dnnl-cpu-gomp                       kyric                    
dnnl-cpu-iomp                       kyric                    
dnnl-cpu-tbb                        kyric                    
docker                              expanse                  
docker-user                         aces                     
dorado                              bridges2, aces           
dos2unix                            delta                    
dot                                 ookami                   
double-conversion                   aces, faster             
doxygen                             aces, faster, expanse, ookami
dpct                                kyric                    
dpl                                 kyric                    
draco                               aces, faster             
dragonflye                          anvil                    
drep                                anvil                    
drop-seq                            anvil                    
dropest                             anvil                    
dsuite                              anvil                    
dualsphysics                        faster                   
easybuild                           kyric, aces, faster      
easybuild-aces                      aces                     
easybuild-aces-myeb                 aces                     
easybuild-aces-scratch              aces                     
easybuild-aces-tmp                  aces                     
easybuild-faster                    faster                   
easybuild-faster-myeb               faster                   
easybuild-faster-scratch            faster                   
easybuild-faster-tmp                faster                   
easysfs                             anvil                    
ecbuild                             aces, faster             
eccodes                             aces, faster             
edlib                               faster                   
edta                                anvil                    
eggnog-mapper                       anvil                    
eigen                               anvil, darwin, aces, faster, expanse, stampede3
einops                              aces, faster             
elfutils                            aces, faster             
elpa                                aces, faster, expanse, ookami
emacs                               anvil, darwin, aces      
emboss                              anvil, faster, expanse   
enchant-2                           aces, faster             
energyplus                          faster                   
ensembl-vep                         anvil                    
entrezdirect                        expanse                  
epic2                               anvil                    
esm                                 faster                   
esmf                                aces, faster, expanse    
espresso                            ookami                   
evidencemodeler                     anvil                    
exabayes                            expanse                  
exiv2                               aces, faster             
exo                                 faster                   
exonerate                           anvil, faster            
expansionhunter                     anvil                    
expat                               kyric, aces, faster      
expecttest                          aces, faster             
extrae                              kyric                    
eztrace                             aces                     
fasta3                              anvil                    
fastai                              aces                     
fastani                             anvil, bridges2          
fastcore                            faster                   
fastp                               anvil, expanse           
fastq-scan                          anvil                    
fastq-tools                         bridges2                 
fastq_pair                          anvil                    
fastqc                              anvil, bridges2, aces, faster, expanse
fastspar                            anvil                    
faststructure                       anvil                    
fasttree                            anvil, aces, faster, expanse
fastx-toolkit                       anvil, bridges2, expanse 
fastx_toolkit                       anvil                    
fdasrsf                             faster                   
femzip-l                            faster                   
ffmpeg                              anvil, bridges2, aces, faster, expanse, ookami
ffnvcodec                           aces, faster             
fftw                                anvil, bridges2, darwin, kyric, aces, faster, delta, expanse
fftw.mpi                            aces, faster             
fftw2                               stampede3                
fftw3                               stampede3                
fiji                                faster                   
file                                aces, faster             
filtlong                            anvil                    
fiona                               aces, faster             
firefox                             aces, faster             
firestarter                         faster                   
flac                                aces, faster             
flash                               bridges2, faster         
flask                               aces, faster             
flatbuffers                         aces, faster             
flatbuffers-python                  aces, faster             
flex                                aces, faster, ookami     
flexiblas                           aces, faster, delta      
flit                                aces, faster             
fltk                                aces, faster             
flye                                anvil                    
foldseek                            faster                   
fontconfig                          aces, faster             
forge                               ookami                   
formats                             aces, faster             
foss                                aces, faster             
fosscuda                            aces, faster             
fq                                  anvil                    
fraggenescan                        anvil                    
fraggenescanrs                      anvil                    
freebayes                           anvil, faster            
freeglut                            aces, faster             
freeimage                           faster                   
freeipmi                            ookami                   
freesurfer                          expanse                  
freetype                            aces, faster             
freexl                              aces, faster             
freyja                              anvil                    
fribidi                             aces, faster, ookami     
fsa                                 faster                   
fseq                                anvil                    
fsl                                 faster                   
ftp                                 anvil                    
fujitsu                             ookami, ookami           
funannotate                         anvil, bridges2          
futhark                             faster                   
fwdpy11                             anvil                    
g2clib                              aces, faster             
g2lib                               aces                     
gadma                               anvil                    
gambit                              anvil                    
gamess                              bridges2, expanse        
gamma                               anvil                    
gangstr                             anvil                    
gapfiller                           anvil                    
gapit                               anvil                    
garcon                              faster                   
gatk                                anvil, bridges2, aces, faster, expanse
gatk4                               anvil                    
gaussian                            bridges2, darwin, faster, expanse, stampede3
gaussian09                          expanse                  
gawk                                kyric, faster            
gc                                  aces, faster             
gcatools                            faster                   
gcc                                 anvil, bridges2, darwin, kyric, aces, faster, delta, expanse, ookami, stampede3
gcc-native                          delta                    
gcc-native-mixed                    delta                    
gcc-nvptx                           expanse                  
gcc-runtime                         delta                    
gcccore                             aces, faster             
gcccuda                             aces, faster             
gconf                               aces, faster             
gdal                                anvil, darwin, aces, faster, expanse
gdb                                 anvil, darwin, aces, faster, expanse, ookami
gdb4hpc                             delta                    
gdbm                                kyric, faster            
gdk-pixbuf                          aces, faster             
gdrcopy                             aces, faster, delta      
geant4                              aces                     
geant4-data                         aces                     
gemma                               anvil                    
gemoma                              anvil                    
genemark                            anvil                    
genemark-es                         bridges2                 
genemarks-2                         anvil                    
generativemodels                    aces                     
genmap                              anvil                    
genomedata                          anvil                    
genomepy                            anvil                    
genomescope2                        anvil                    
genomicconsensus                    anvil                    
genrich                             anvil                    
gent                                bridges2                 
geocube                             faster                   
geomview                            darwin                   
geopandas                           aces, faster             
geos                                anvil, darwin, aces, faster, expanse, ookami
getdist                             faster                   
gethost                             ookami                   
getorganelle                        anvil                    
gettext                             bridges2, kyric, aces, faster
gfaffix                             anvil                    
gfastats                            anvil                    
gfatools                            anvil                    
gfbf                                aces, faster             
gffcompare                          anvil                    
gffread                             anvil                    
gffutils                            anvil                    
gh                                  delta, expanse           
ghostscript                         anvil, aces, faster      
giflib                              aces, faster             
gimmemotifs                         anvil                    
git                                 darwin, kyric, aces, faster, delta, expanse, ookami
git-lfs                             darwin, aces, faster, delta, expanse
gitpython                           faster                   
gklib                               aces, stampede3          
gl2ps                               aces, faster             
glew                                aces, faster             
glfw                                aces, faster             
glib                                aces, faster             
glib-networking                     aces, faster             
glibc                               ookami                   
glimmer                             anvil                    
glimmerhmm                          anvil                    
glm                                 aces, delta              
glnexus                             anvil                    
globalarrays                        aces, faster             
globus-cli                          aces, faster             
glpk                                darwin, aces, faster, expanse
gmap                                anvil                    
gmap-gsnap                          expanse                  
gmp                                 anvil, darwin, kyric, aces, faster, expanse, ookami
