Software                            Resource Provider        
smoove                              anvil                    
smrt-link                           faster                   
snakemake                           anvil, faster            
snap                                anvil                    
snap-aligner                        anvil                    
snappy                              aces, faster             
snaptools                           anvil                    
snippy                              anvil                    
snp-dists                           anvil                    
snp-sites                           anvil                    
snpeff                              anvil                    
snpgenie                            anvil                    
snphylo                             anvil                    
snpsift                             anvil                    
soapdenovo2                         anvil, expanse           
sortmerna                           anvil                    
souporcell                          anvil                    
sourmash                            anvil                    
spaceranger                         anvil                    
spack                               faster, ookami           
spacy                               aces                     
spades                              anvil, bridges2, aces, faster, expanse
spark                               anvil, bridges2, faster, expanse
sparsehash                          faster                   
spdlog                              ookami                   
speedseq                            faster                   
spglib                              aces, faster             
spglib-python                       aces, faster             
spice-server                        anvil                    
spoa                                faster                   
sprng                               expanse                  
sprod                               anvil                    
spython                             aces, faster             
sqlite                              kyric, aces, faster, delta, expanse
squashfs                            kyric                    
squashfs-tools                      darwin                   
squeezemeta                         anvil                    
squid                               anvil                    
sra-toolkit                         bridges2, aces, faster   
sra-tools                           anvil                    
sratoolkit                          anvil, expanse           
srst2                               anvil                    
stacks                              anvil, faster, expanse   
star                                anvil, bridges2, aces, faster, expanse
star-fusion                         bridges2                 
staramr                             anvil                    
starfusion                          anvil                    
starpu                              aces                     
stata                               darwin                   
statsmodels                         aces, faster             
strace                              faster                   
stream                              anvil                    
stringdecomposer                    anvil                    
stringtie                           anvil, expanse           
strique                             anvil                    
structure                           anvil, faster            
strumpack                           faster                   
subread                             anvil                    
subversion                          aces, faster, delta, expanse
suite-sparse                        expanse                  
suitesparse                         aces, faster             
sundials                            aces, faster             
superlu                             expanse                  
superlu-dist                        expanse                  
superlu_dist                        aces, faster             
survivor                            anvil                    
svaba                               anvil                    
sve                                 ookami                   
svtools                             anvil                    
svtyper                             anvil, faster            
swat                                anvil                    
swig                                anvil, aces, faster, stampede3
sympy                               aces, faster             
synthcity                           aces                     
syri                                anvil                    
sz                                  faster                   
sz3                                 faster                   
szip                                darwin, aces, faster     
t-coffee                            anvil                    
tabix                               expanse                  
tacc                                stampede3                
tacc-apptainer                      stampede3                
taichi                              faster                   
talon                               anvil                    
tar                                 kyric                    
targetp                             anvil                    
tassel                              anvil                    
tau                                 darwin, kyric, expanse, ookami
taxonkit                            anvil                    
tbb                                 kyric, aces, faster, ookami
tbb32                               kyric                    
tcl                                 anvil, aces, faster, delta, expanse
tclap                               faster                   
tcltk                               darwin                   
tcsh                                aces, faster             
template                            ookami                   
tensorboard                         aces, faster             
tensorboardx                        aces, faster             
tensorflow                          darwin, aces, faster     
tensorflow-probability              aces, faster             
tensorrt                            aces, faster             
tesseract                           aces                     
test                                ookami                   
tetranscripts                       anvil                    
texlive                             anvil, darwin, aces, ookami
tfold                               darwin                   
theano                              aces, faster             
thermo-calc                         faster                   
tiara                               anvil                    
tiff                                aces, faster             
tiger                               bridges2                 
tigmint                             anvil                    
time                                aces, faster, delta      
tinker-hp                           delta                    
tk                                  anvil, aces, faster, delta
tkinter                             aces, faster             
tmux                                aces                     
tobias                              anvil                    
tombo                               anvil                    
tomli                               faster                   
toolkit                             ookami                   
tools                               ookami                   
tophat                              anvil                    
torchinfo                           faster                   
torchsampler                        aces                     
torchtext                           aces                     
torchvision                         aces, faster             
tornado                             aces                     
totalview                           anvil                    
tpmcalculator                       anvil                    
tqdm                                aces, faster             
transabyss                          anvil                    
transdecoder                        anvil                    
transformers                        faster                   
transrate                           anvil                    
transvar                            anvil                    
trax                                anvil                    
treetime                            anvil                    
trilinos                            aces, stampede3          
trim-galore                         anvil                    
trim_galore                         aces, faster             
trimal                              anvil, faster            
trimmomatic                         anvil, bridges2, expanse 
trinity                             anvil, bridges2, expanse 
trinotate                           anvil                    
trnascan-se                         anvil, bridges2          
trtools                             anvil                    
trust4                              anvil                    
trycycler                           anvil                    
twisted                             aces, faster             
typing-extensions                   aces, faster             
ucc                                 aces, faster             
ucc-cuda                            aces, faster             
ucsc_genome_toolkit                 anvil                    
ucsctest                            faster                   
ucsctools                           faster                   
ucx                                 bridges2, darwin, kyric, aces, faster, expanse, ookami
ucx-cuda                            aces, faster             
udbuild                             darwin                   
udunits                             darwin, aces, faster, stampede3
umi_tools                           anvil                    
unicycler                           anvil                    
unison                              faster                   
unzip                               aces, faster             
upcxx                               faster                   
usefulaf                            anvil                    
utf8proc                            aces, faster             
util                                ookami                   
util-linux                          kyric, aces, faster      
util-linux-uuid                     anvil, kyric             
util-macros                         kyric                    
utils                               ookami                   
vadr                                anvil                    
valgrind                            anvil, darwin, kyric, aces, expanse, ookami
valgrind4hpc                        delta                    
vardict-java                        anvil                    
varlociraptor                       anvil                    
varscan                             anvil                    
vartrix                             anvil                    
vasp                                anvil, bridges2, aces, faster, expanse, stampede3
vasp6                               expanse                  
vatools                             anvil                    
vawk                                faster                   
vcf-kit                             anvil                    
vcf2maf                             anvil, bridges2          
vcf2phylip                          anvil                    
vcf2tsvpy                           anvil                    
vcftools                            anvil, bridges2, faster, expanse
velocyto.py                         anvil                    
velvet                              anvil                    
vep                                 faster                   
veryfasttree                        anvil                    
vesta                               aces                     
vg                                  anvil                    
viennarna                           anvil                    
virtualenv                          aces, faster             
virtualgl                           faster                   
visidata                            bridges2                 
visit                               anvil, bridges2, darwin, faster, delta, ookami
vlc                                 anvil                    
vmd                                 anvil, darwin, aces, faster, expanse, stampede3
voro++                              aces, faster             
vpl                                 kyric                    
vscode                              anvil, aces              
vsearch                             anvil                    
vtk                                 anvil, aces, faster      
vtune                               darwin, kyric, aces, faster, stampede3
vulkansdk                           aces, faster             
wannier90                           anvil, faster, expanse   
wayland                             aces, faster             
waylandpp                           aces, faster             
webkitgtk+                          aces, faster             
weblogo                             anvil                    
webproxy                            aces, faster             
westpa                              delta                    
wget                                aces, faster             
wgss                                darwin                   
whatshap                            anvil                    
wiggletools                         anvil                    
winnowmap                           anvil                    
wpebackend-fdo                      aces, faster             
wps                                 faster, expanse          
wrf                                 darwin, aces, faster, expanse
wtdbg                               anvil                    
wxpython                            aces, faster             
wxwidgets                           aces, faster             
x11                                 aces, faster             
x264                                aces, faster             
x265                                aces, faster             
xalt                                anvil, stampede3         
xarray                              aces, faster             
xcb-util-image                      anvil                    
xcb-util-keysyms                    anvil                    
xcb-util-renderutil                 anvil                    
xcb-util-wm                         anvil                    
xclock                              delta                    
xdinfo                              bridges2, darwin         
xdist                               aces, faster             
xdresourceid                        bridges2, darwin         
xdusage                             bridges2, darwin         
xerces-c                            delta                    
xerces-c++                          aces, faster             
xextproto                           delta                    
xfce4                               faster                   
xfce4-appfinder                     faster                   
xfce4-dev-tools                     faster                   
xfce4-panel                         faster                   
xfce4-settings                      faster                   
xfconf                              faster                   
xfdesktop                           faster                   
xfwm4                               faster                   
xgboost                             aces                     
xit                                 bridges2                 
xml-libxml                          aces, faster             
xorg-macros                         aces, faster             
xpmem                               aces, faster, ookami     
xprop                               aces, faster             
xproto                              aces, faster, delta      
xtalopt                             faster                   
xtrans                              delta                    
xvfb                                aces, faster             
xxd                                 aces, faster             
xz                                  kyric, aces, faster, delta, expanse
yacs                                aces, faster             
yaff                                faster                   
yaml                                ookami                   
yasm                                aces, faster             
yaxt                                faster                   
z3                                  aces, faster             
zarr                                aces, faster             
zebulon                             faster                   
zeromq                              aces, faster             
zfp                                 faster                   
zip                                 aces, faster             
zlib                                anvil, kyric, aces, faster, expanse
zluda                               darwin                   
zoltan                              bridges2                 
zsh                                 ookami                   
zstd                                kyric, aces, faster, expanse

Total unique software across all RPs :  2258
